manufacturer,model,type,cityMPG,enginesize,weight
Audi,90,Compact,20,2.8,3375
Chevrolet,Cavalier,Compact,25,2.2,2490
Chevrolet,Corsica,Compact,25,2.2,2785
Chrysler,LeBaron,Compact,23,3,3085
Dodge,Spirit,Compact,22,2.5,2970
Ford,Tempo,Compact,22,2.3,2690
Honda,Accord,Compact,24,2.2,3040
Mazda,626,Compact,26,2.5,2970
Mercedes-Benz,190E,Compact,20,2.3,2920
Nissan,Altima,Compact,24,2.4,3050
Oldsmobile,Achieva,Compact,24,2.3,2910
Pontiac,Sunbird,Compact,23,2,2575
Saab,900,Compact,20,2.1,2775
Subaru,Legacy,Compact,23,2.2,3085
Volkswagen,Passat,Compact,21,2,2985
Volvo,240,Compact,21,2.3,2985
Buick,LeSabre,Large,19,3.8,3470
Buick,Roadmaster,Large,16,5.7,4105
Cadillac,DeVille,Large,16,4.9,3620
Chevrolet,Caprice,Large,17,5,3910
Chrylser,Concorde,Large,20,3.3,3515
Chrysler,Imperial,Large,20,3.3,3570
Eagle,Vision,Large,20,3.5,3490
Ford,Crown_Victoria,Large,18,4.6,3950
Lincoln,Town_Car,Large,18,4.6,4055
Oldsmobile,Eighty-Eight,Large,19,3.8,3470
Pontiac,Bonneville,Large,19,3.8,3495
Acura,Legend,Midsize,18,3.2,3560
Audi,100,Midsize,19,2.8,3405
BMW,535i,Midsize,22,3.5,3640
Buick,Century,Midsize,22,2.2,2880
Buick,Riviera,Midsize,19,3.8,3495
Cadillac,Seville,Midsize,16,4.6,3935
Chevrolet,Lumina,Midsize,21,2.2,3195
Dodge,Dynasty,Midsize,21,2.5,3080
Ford,Taurus,Midsize,21,3,3325
Hyundai,Sonata,Midsize,20,2,2885
Infiniti,Q45,Midsize,17,4.5,4000
Lexus,ES300,Midsize,18,3,3510
Lexus,SC300,Midsize,18,3,3515
Lincoln,Continental,Midsize,17,3.8,3695
Mercedes-Benz,300E,Midsize,19,3.2,3525
Mercury,Cougar,Midsize,19,3.8,3610
Mitsubishi,Diamante,Midsize,18,3,3730
Nissan,Maxima,Midsize,21,3,3200
Oldsmobile,Cutlass_Ciera,Midsize,23,2.2,2890
Pontiac,Grand_Prix,Midsize,19,3.4,3450
Toyota,Camry,Midsize,22,2.2,3030
Volvo,850,Midsize,20,2.4,3245
